AppId,Title,Target_Users
xyz.thefor.habits.habits,TheFor: Habit Tracker,3 Other / Unclear Audience
com.androidapps.healthmanager,Health Pal - Fitness Manager,1 Patients / Health-conscious Individuals
com.eshyft.app,ESHYFT - Per Diem Nursing,2 Healthcare Professionals / Medical Students
com.truworth.wellnesscorner,The Wellness Corner,1 Patients / Health-conscious Individuals
com.pre_pg,Pre PG: Clinical NEET PG NExT,2 Healthcare Professionals / Medical Students
com.hazonholdings.android.wellnesspatientapp,Wellness Plus,1 Patients / Health-conscious Individuals
com.doctor.surgerymaster,Surgery Master,3 Other / Unclear Audience
com.gamehouse.hm3gp,Heart's Medicine Hospital Heat,3 Other / Unclear Audience
com.mapmyfitness.android2,Map My Fitness Workout Tracker,1 Patients / Health-conscious Individuals
com.selectcomfort.SleepIQ,Sleep Number,1 Patients / Health-conscious Individuals
appinventor.ai_doctorbishoy.Master_The_MRCS,Surgery Masters Academy,2 Healthcare Professionals / Medical Students
org.kiwix.kiwixcustomwikimedmini,Mini Medical Wikipedia Offline,2 Healthcare Professionals / Medical Students
com.hevy,Hevy - Gym Log Workout Tracker,3 Other / Unclear Audience
com.applee.car.medsc,MedEx - Clinical Examination,2 Healthcare Professionals / Medical Students
com.matrixcare.homecare,MatrixCare for Home Care,2 Healthcare Professionals / Medical Students
com.prehabguys.prehabapp,"Prehab:Physical Therapy, Rehab",1 Patients / Health-conscious Individuals
co.swasth.cbtcompanion,CBT Companion: Therapy app,1 Patients / Health-conscious Individuals
org.kiwix.kiwixcustomwikimed,WikiMed Medical Encyclopedia,2 Healthcare Professionals / Medical Students
com.fidelity.hcg.health,Fidelity Health짰,3 Other / Unclear Audience
